Numero;Caso;Mes;Resolucion;Comunicación;Categoria;Subcategoria;Segmento;Equipo_Resolutor;Canal;Movimiento;Monto;Cliente;Productos_act;Sexo
929;38259628;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CASTELAR;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;1;F
930;38764003;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;Comisiones y Morosidad;SUC;INTERESES FINANCIACION;$ 4.282,07;Masivo;3;F
931;38765831;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Media;ALTA CORDOBA;SUC;COM.SERV.EMINENT (800040901665);$ 10.330,58;Eminent;4;F
932;38852123;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;CASA MATRIZ TORRE;SUC;COM.SERV.EMINENT (800024759930);$ 666,92;Negocios;2;M
933;38453981;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;PATERNAL I;SUC;GASTOS DE SERVICIO EMI;$ 6.446,28;Prefer;0;M
934;38585401;Mayo;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Media;CAD;CAD;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;1;F
935;38402778;Octubre;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Baja;ALTA CORDOBA;SUC;SERVICIO CUENTA CLASSI;$ 3.719,01;Eminent;3;F
936;38329538;Diciembre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CAD;CAD;GASTOS DE SERVICIO EMINENT;$ 3.223,05;Negocios;4;F
937;38922653;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Alta;L.DE MARTINEZ;SUC;COM.SERV.EMINENT (800080565615);$ 10.330,58;Prefer;2;M
938;38446465;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Baja;PLAZA DE MAYO;SUC;SERVICIO CUENTA CLASSIC;$ 3.719,01;Masivo;0;M
939;38816902;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;Comisiones y Morosidad;SUC;COMISION RENO.ANUAL;$ 11.267,00;Eminent;1;F
940;38650959;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CASTELAR;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;3;M
941;38363314;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CORONEL DIAZ;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;4;F
942;38326830;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;Cuentas;SUC;INTERESES FINANCIACION;$ 12.235,27;Prefer;2;M
943;38293832;Enero;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;Cuentas;Conecta;SERVICIO CUENTA CLASSIC;$ 3.719,01;Prefer;0;M
944;38915035;Mayo;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;ABASTO;SUC;COM.SERV.EMINENT (800049606658);$ 10.330,58;Masivo;1;M
945;38395388;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;CCC;GASTOS DE SERVICIO EMI;$ 6.446,28;Prefer;3;F
946;38622460;Febrero;Favorable al cliente;Sin Envío;Cuentas Reclamos;Desconocimiento;Renta Media Alta;Comisiones y Morosidad;CCC;COM.SERV.EMINENT (800084110159);$ 6.442,07;Masivo;4;F
947;38550866;Julio;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Media Alta;Comisiones y Morosidad;SUC;GASTOS DE SERVICIO EMI;$ 4.090,81;Eminent;2;F
948;38155515;Marzo;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES GOLD;CASA MATRIZ TORRE;SUC;COM.SERV.EMINENT;$ 8.181,82;Eminent;0;M
949;38196374;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CASILDA;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;1;M
950;38837851;Diciembre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;COM.SERV.EMINENT (800064003225);$ 10.265,04;Masivo;3;F
951;38226822;Noviembre;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;Cuentas;CCC;INTERESES FINANCIACION;$ 14.966,30;Masivo;4;F
952;38450600;Septiembre;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;OUT LEAN;CSEDB;COM.SERV.EMINENT (800013597837);$ 496,94;Eminent;2;M
953;38636406;Agosto;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;PACHECO;SUC;GASTOS DE SERVICIO EMI;$ 2.117,85;Eminent;0;M
954;38630478;Abril;Desfavorable al cliente;Sin Envío;TC/TD Reclamos;Comisiones e intereses;Renta Baja;Comisiones y Morosidad;CCC;SERVICIO CUENTA CLASSI;$ 4.958,68;Eminent;1;M
955;38925582;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Comisiones y Morosidad;SUC;SELLOS ALTAS/RENOVACIO;$ 850,00;Eminent;3;M
956;38869452;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;CASA MATRIZ TORRE;SUC;COM. MANT. CC/CCE (Mayo 2023);$ 2.892,56;Prefer;4;F
957;38677381;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CCC;CCC;COM.SERV.EMINENT (800039139283);$ 10.330,58;Prefer;2;F
958;38543295;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES GOLD;Palmares;SUC;COM.SERV.EMINENT (800083967935);$ 8.264,46;Masivo;0;F
959;38392699;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;CCC;COM.SERV.PREFER (800081058741);$ 4.545,45;Masivo;1;F
960;38915414;Mayo;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Baja;CCC;CCC;COM.SERV.PREFER (800078551254);$ 6.127,85;Masivo;3;F
961;38376788;Octubre;Desfavorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;Cuentas;CAD;COM.LINK/OTRAS (4517699021187684);$ 743,79;Eminent;4;F
962;38696483;Diciembre;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;Comisiones y Morosidad;CAD;GASTOS DE SERVICIO EMINENT;$ 10.330,58;Negocios;2;F
963;38672252;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Alta;OUT LEAN;CSEDB;COM.SERV.EMINENT (800029317235);$ 8.264,46;Prefer;0;M
964;38917780;Abril;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CCC;COM.SERV.CTA.TOT (800054422675);$ 3.305,79;Masivo;1;M
965;38768998;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;CONCORDIA;SUC;SERVICIO CUENTA TOTAL;$ 4.132,23;Eminent;3;F
966;38676306;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Media Media;Comisiones y Morosidad;SUC;COM RENOV ANUAL  1/3;$ 7.988,66;Negocios;4;F
967;38825720;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CARREFOUR LA PLATA;SUC;SERVICIO CUENTA TOTAL;$ 4.132,23;Prefer;2;F
968;38781100;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Alta;GERLI;SUC;GASTOS DE SERVICIO EMI;$ 8.264,46;Masivo;0;M
969;38899200;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Alta;AV. CORDOBA;SUC;GASTOS DE SERVICIO EMI;$ 10.330,58;Eminent;1;M
970;38639402;Mayo;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;Comisiones y Morosidad;CAD;INTERESES FINANCIACION;$ 7.080,93;Eminent;3;F
971;38811642;Marzo;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;ZARATE;SUC;COM.SERV.EMINENT (800069272623);$ 0,01;Prefer;4;M
972;38526535;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;PARANA;SUC;SERVICIO CUENTA TOTAL;$ 3.305,79;Prefer;2;F
973;38518183;Julio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;LA PLATA;SUC;GASTOS DE SERVICIO EMI;$ 6.446,28;Prefer;0;M
974;38804642;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;1;M
975;38823367;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Baja;EL LIBERTADOR;SUC;COM.SERV.CLASSIC (800077233151);$ 3.843,72;Prefer;3;M
976;38405950;Diciembre;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Media Media;Cuentas;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;4;F
977;38393678;Noviembre;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Media;VILLA URQUIZA;SUC;GASTOS DE SERVICIO EMI;$ 6.446,28;Eminent;2;F
978;38159901;Septiembre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Alta;CCC;CCC;COM.SERV.EMINENT;$ 8.181,82;Eminent;0;F
979;38524288;Agosto;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Alta;RIO GALLEGOS;SUC;GASTOS DE SERVICIO EMI;$ 6.446,28;Prefer;1;M
980;38259532;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CCC;GASTOS DE SERVICIO EMI;$ 8.181,82;Masivo;3;M
981;38895984;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;Boulevard Alberdi;SUC;SERVICIO CUENTA CLASSI;$ 4.958,68;Masivo;4;F
982;38353640;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;MUNRO;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;2;F
983;38213332;Octubre;No Informado.;No Informado.;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;Cuentas;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;0;M
984;38234943;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CONECTA;Conecta;GASTOS DE SERVICIO EMI;$ 8.181,82;Eminent;1;M
985;38433835;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;ALTA CORDOBA;SUC;SERVICIO CUENTA SIMPLE;$ 2.479,34;Eminent;3;M
986;38199593;Mayo;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;SERVICIO CUENTA CLASSIC;$ 3.719,01;Prefer;4;M
987;38848491;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;PYME Micro;ADROGUE;SUC;COM. MANT. CC/CCE (Mayo 2023);$ 8.750,00;Prefer;2;F
988;38807090;Diciembre;Favorable al cliente;Sin Envío;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;Comisiones y Morosidad;SUC;COM.SERV.PREFER (800087891951);$ 3.099,45;Masivo;0;F
989;38182599;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES GOLD;Cuentas;SUC;COM RENOV ANUAL  1/3;$ 5.636,33;Masivo;1;F
990;38911379;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CAD;CAD;SERVICIO CUENTA CLASSI;$ 4.958,68;Masivo;3;F
991;38836656;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CAD;CAD;COM.SERV.EMINENT (800044767300);$ 4.958,82;Eminent;4;F
992;38239094;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Baja;ROSARIO;SUC;SERVICIO CUENTA SIMPLE;$ 2.479,34;Negocios;2;F
993;38814417;Abril;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;CCC;CCC;COM.SERV.PREFER (800030748252);$ 6.198,35;Prefer;0;F
994;38508643;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;Cuentas;CAD;COM RENOV ANUAL  2/3;$ 7.988,66;Masivo;1;M
995;38802952;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Media;BELGRANO R;SUC;COM.SERV.PREFER (800082100520);$ 6.198,35;Eminent;3;M
996;38747645;Mayo;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;BOEDO;SUC;COM.SERV.PREFER (800082779231);$ 4.545,45;Negocios;4;F
997;38407730;Marzo;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;CCC;CCC;COM.SERV.EMINENT (800072680842);$ 1.832,68;Prefer;2;F
998;38750275;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;BELGRANO SUD;SUC;SERVICIO CUENTA CLASSI;$ 4.958,68;Masivo;0;F
999;38218277;Julio;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;OUT LEAN;CSEDB;SERVICIO CUENTA CLASSI;$ 1.859,61;Eminent;1;M
1000;38578489;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CCC;GASTOS DE SERVICIO EMINENT;$ 10.330,58;Eminent;3;M
1001;38231122;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CHACABUCO;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;4;F
1002;38183845;Diciembre;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;PARQUE LEZAMA;SUC;COM.SERV.PREFER;$ 2.272,93;Prefer;2;M
1003;38312969;Noviembre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CAD;CAD;GASTOS DE SERVICIO EMI;$ 6.446,28;Prefer;0;F
1004;38516005;Septiembre;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Baja;Cuentas;SUC;COM RENOV ANUAL  1/3;$ 1.074,33;Masivo;1;M
1005;38703744;Agosto;Favorable al cliente;Sin Envío;TC/TD Reclamos;Desconocimiento;Renta Alta;Comisiones y Morosidad;SUC;GASTOS DE SERVICIO EMINENT;$ 5.165,16;Prefer;3;M
1006;38754506;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Media;PLAZA LAVALLE;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;4;M
1007;38786394;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;AV. BELGRANO;SUC;COM.SERV.PREFER (800082415157);$ 4.387,11;Eminent;2;F
1008;38908797;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;OUT LEAN;CSEDB;COM.SERV.PREFER (800078326862);$ 1.086,78;Eminent;0;F
1009;38762452;Octubre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CIPOLLETTI;SUC;GASTOS DE SERVICIO EMI;$ 8.181,82;Prefer;1;F
1010;38634010;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;VILLA BALLESTER;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;3;M
1011;38394461;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;?;SUC;SERVICIO CUENTA SIMPLE;$ 2.479,34;Masivo;4;M
1012;38701448;Mayo;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;BELGRANO NORTE;SUC;SERVICIO CUENTA SIMPLE;$ 2.892,56;Eminent;2;F
1013;38154170;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;COM.SERV.EMINENT;$ 6.446,28;Eminent;0;F
1014;38699122;Diciembre;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;Comisiones y Morosidad;CCC;COM.SERV.CTA.TOT (800065711975);$ 0,07;Eminent;1;M
1015;38675092;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CAD;CAD;COM.SERV.EMINENT (800019341354);$ 57,25;Eminent;3;M
1016;38486808;Abril;Favorable al cliente;Sin Envío;Cuentas Reclamos;Comisiones e intereses;Renta Alta;Comisiones y Morosidad;SUC;INTERESES (Febrero 2023);$ 269,77;Prefer;4;M
1017;38601349;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;Cuentas;SUC;CARGO POR GESTION DE C;$ 390,83;Prefer;2;M
1018;38356850;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Media;Cuentas;UVM;COMISION RENO.ANUAL;$ 14.282,00;Masivo;0;F
1019;38606179;Abril;Desfavorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;FAMILIA GALICIA;Comisiones y Morosidad;CCC;COM.CJA.SEGURIDAD;$ 4.104,00;Masivo;1;F
1020;38850904;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;OLIVOS ALTO;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;3;F
1021;38624489;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Baja;L.DEL MIRADOR;SUC;SERVICIO CUENTA CLASSI;$ 3.719,01;Eminent;4;F
1022;38828720;Mayo;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Negocios;2;F
1023;38438455;Marzo;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;?;ONB;Com.serv.eminent;$ 4.214,88;Prefer;0;F
1024;38233527;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Alta;CCC;CCC;COM.SERV.CLASSIC;$ 3.719,01;Masivo;1;F
1025;38865993;Julio;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;TUCUMAN;SUC;SERVICIO CUENTA TOTAL;$ 4.132,23;Eminent;3;M
1026;38287106;Marzo;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Alta;Cuentas;CCC;COM.SERV.EMINENT (800034972181);$ 3.223,05;Negocios;4;M
1027;38835242;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;ALTA CORDOBA;SUC;SERVICIO CUENTA TOTAL;$ 4.132,23;Prefer;2;F
1028;38672799;Diciembre;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;Comisiones y Morosidad;ONB;Com.serv.eminent;$ 10.330,58;Masivo;0;F
1029;38409184;Noviembre;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;CCC;COM.SERV.PREFER (800077632064);$ 4.533,42;Eminent;1;F
1030;38562665;Septiembre;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;GERLI;SUC;COM.SERV.CTA.PROP (800067059248);$ 3.719,01;Eminent;3;M
1031;38203916;Agosto;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CIUDADELA;SUC;SERVICIO CUENTA TOTAL;$ 1.652,95;Prefer;4;M
1032;38239068;Abril;Favorable al cliente;Manual;Cuentas Reclamos;Morosidad no reconocida;Empleados BGBA;Cuentas;SUC;COM.CJA.SEGURIDAD;$ 21.645,00;Prefer;2;F
1033;38597758;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Baja;Comisiones y Morosidad;CCC;COMISION RENO.ANUAL(12;$ 5.647,34;Prefer;0;M
1034;38827420;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Media;BARRIO NORTE;SUC;COM.SERV.CTA.NEG (800072736708);$ 4.545,45;Masivo;1;F
1035;38865886;Octubre;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Media Alta;Comisiones y Morosidad;SUC;INTERESES FINANCIACION;$ 28.325,12;Prefer;3;M
1036;38329052;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CANNING;SUC;SERVICIO CUENTA SIMPLE;$ 2.479,34;Masivo;4;M
1037;38693677;Enero;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;Comisiones y Morosidad;SUC;SERVICIO CUENTA CLASSIC;$ 4.958,68;Eminent;2;M
1038;38770043;Mayo;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;DIAGONAL NORTE;SUC;SERVICIO CUENTA CLASSI;$ 4.958,68;Eminent;0;F
1039;38624418;Octubre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;L.DEL MIRADOR;SUC;SERVICIO CUENTA CLASSI;$ 4.958,68;Prefer;1;F
1040;38517386;Diciembre;Desfavorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;Comisiones y Morosidad;CCC;INTERESES FINANCIACION;$ 4.911,43;Masivo;3;F
1041;38153432;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CAD;CAD;COM.SERV.PREFER;$ 4.545,45;Masivo;4;M
1042;38901903;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Alta;CITY BELL;SUC;GASTOS DE SERVICIO EMI;$ 10.330,58;Eminent;2;M
1043;38319359;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Alta;Cuentas;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;0;F
1044;38672882;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CAD;CAD;GASTOS DE SERVICIO EMI;$ 8.264,46;Eminent;1;F
1045;38908829;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;TROPEZON;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Eminent;3;M
1046;38294846;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;Cuentas;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;4;M
1047;38391550;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Media;VILLA URQUIZA;SUC;COM.SERV.EMINENT (800083747234);$ 8.181,82;Prefer;2;M
1048;38689704;Mayo;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Empleados BGBA;Comisiones y Morosidad;CCC;COM.SERV.EMINENT (800051761851);$ 4.132,35;Masivo;0;M
1049;38689484;Marzo;Favorable al cliente;Sin Envío;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;Comisiones y Morosidad;CAD;COM.SERV.CTA.TOT (800087295281);$ 2.066,18;Masivo;1;F
1050;38559816;Febrero;Favorable al cliente;Manual;Cuentas Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES GOLD;Comisiones y Morosidad;CCC;COM.CJA.SEGURIDAD (AJUSTE COM. C. SEG.);$ 6.276,00;Masivo;3;F
1051;38172882;Julio;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;Cuentas;ONB;Com.serv.cta.simp;$ 2.479,34;Eminent;4;F
1052;38819337;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;PARANA;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Negocios;2;F
1053;38547926;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Baja;AVDA. LURO;SUC;COM.SERV.CTA.TOT (800071842490);$ 2.231,40;Prefer;0;F
1054;38289666;Diciembre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CONECTA;Conecta;COM.SERV.PREFER (800022948371);$ 4.545,45;Masivo;1;F
1055;38335877;Noviembre;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CCC;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;3;F
1056;38567286;Septiembre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CCC;CCC;COM.SERV.EMINENT (800066541143);$ 10.330,58;Negocios;4;M
1057;38568718;Agosto;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;Comisiones y Morosidad;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;2;M
1058;38323773;Abril;Favorable al cliente;Manual;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;Cuentas;CCC;COM.LINK/OTRAS;$ 1.487,58;Masivo;0;F
1059;38869882;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;AVENIDA SABATTINI;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Eminent;1;F
1060;38355895;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;OUT LEAN;CSEDB;COM.SERV.CLASSIC;$ 3.674,32;Eminent;3;F
1061;38718660;Octubre;Desfavorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;Comisiones y Morosidad;SUC;GASTOS DE SERVICIO EMINENT;$ 10.330,58;Prefer;4;M
1062;38597988;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Alta;Comisiones y Morosidad;SUC;CARGO POR GESTION DE C;$ 390,83;Prefer;2;M
1063;38751040;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Baja;AVENIDA 44;SUC;SERVICIO CUENTA CLASSI;$ 4.958,68;Prefer;0;F
1064;38675843;Mayo;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Alta;CUTRAL CO;SUC;COM.SERV.PREFER (800034335149);$ 6.198,35;Masivo;1;M
1065;38330157;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;BARRIO NORTE;SUC;COM.SERV.PREFER;$ 761,74;Prefer;3;F
