Caso;Mes;Comunicacion;Resolucion;Categoria;Subcategoria;Segmento;Canal;Movimiento;Monto;Cliente;ProductosActivos;Sexo;AgeAntiguedad;Beneficio
1042;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;CARGO REPOSICION;$ 10.330,58;Eminent;2;M;2;200
1043;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;COM MANT CCE;$ 4.545,45;Eminent;0;F;3;300
1044;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CAD;SERVICIO CUENTA PREFER;$ 8.264,46;Eminent;1;F;4;400
1045;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO EMINENT;$ 6.198,35;Eminent;3;M;5;500
1046;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Prefer;4;M;6;600
1047;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;SUC;CARGOGESTCOBRANZA;$ 8.181,82;Prefer;2;M;7;700
1048;Mayo;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Empleados BGBA;CCC;COM BANELCO;$ 4.132,35;Masivo;0;M;8;800
1049;Marzo;Sin Envio;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CAD;CARGO REPOSICION;$ 2.066,18;Masivo;1;F;9;900
1050;Febrero;Manual;Favorable al cliente;Cuentas Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES GOLD;CCC;COM MANT CCE;$ 6.276,00;Masivo;3;F;10;1000
1051;Julio;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;ONB;SERVICIO CUENTA PREFER;$ 2.479,34;Eminent;4;F;11;1100
1052;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;SERVICIO EMINENT;$ 6.198,35;Negocios;2;F;12;1200
1053;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Baja;SUC;COMISION MANT DE CUENTA;$ 2.231,40;Prefer;0;F;13;1300
1054;Diciembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;Conecta;CARGOGESTCOBRANZA;$ 4.545,45;Masivo;1;F;14;1400
1055;Noviembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CCC;COM BANELCO;$ 4.545,45;Eminent;3;F;15;1500
1056;Septiembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CCC;CARGO REPOSICION;$ 10.330,58;Negocios;4;M;16;1600
1057;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;COM MANT CCE;$ 6.198,35;Prefer;2;M;17;1700
1058;Abril;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;SERVICIO CUENTA PREFER;$ 1.487,58;Masivo;0;F;18;1800
1059;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;SERVICIO EMINENT;$ 6.198,35;Eminent;1;F;19;1900
1060;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CSEDB;COMISION MANT DE CUENTA;$ 3.674,32;Eminent;3;F;20;2000
1061;Octubre;Manual;Desfavorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;CARGOGESTCOBRANZA;$ 10.330,58;Prefer;4;M;1;100
1062;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Alta;SUC;COM BANELCO;$ 390,83;Prefer;2;M;2;200
1063;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Baja;SUC;CARGO REPOSICION;$ 4.958,68;Prefer;0;F;3;300
1064;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Alta;SUC;COM MANT CCE;$ 6.198,35;Masivo;1;M;4;400
1065;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 761,74;Prefer;3;F;5;500
1066;Diciembre;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;SERVICIO EMINENT;$ 943,87;Masivo;4;M;6;600
1067;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Eminent;2;M;7;700
1068;Abril;Sin Envio;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;CARGOGESTCOBRANZA;$ 3.719,01;Eminent;0;M;8;800
1069;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;COM BANELCO;$ 6.198,35;Prefer;1;F;9;900
1070;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CCC;CARGO REPOSICION;$ 4.545,45;Masivo;3;F;10;1000
1071;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COM MANT CCE;$ 4.545,45;Masivo;4;F;11;1100
1072;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CAD;SERVICIO CUENTA PREFER;$ 8.264,46;Eminent;2;M;12;1200
1073;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CCC;SERVICIO EMINENT;$ 4.132,23;Eminent;0;M;13;1300
1074;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;COMISION MANT DE CUENTA;$ 8.264,46;Eminent;1;F;14;1400
1075;Marzo;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;CARGOGESTCOBRANZA;$ 6.198,35;Eminent;3;F;15;1500
1076;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Baja;SUC;COM BANELCO;$ 28,10;Prefer;4;M;16;1600
1077;Julio;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;CARGO REPOSICION;$ 6.198,35;Prefer;2;M;17;1700
1078;Marzo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;SUC;COM MANT CCE;$ 8.181,82;Masivo;0;M;18;1800
1079;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;CAD;SERVICIO CUENTA PREFER;$ 10.330,58;Masivo;1;M;19;1900
1080;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO EMINENT;$ 3.305,79;Masivo;3;F;20;2000
1081;Noviembre;Manual;Desfavorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Eminent;4;F;1;100
1082;Septiembre;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;CCC;CARGOGESTCOBRANZA;$ 3.719,01;Negocios;2;F;2;200
1083;Agosto;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COM BANELCO;$ 4.560,25;Prefer;0;F;3;300
1084;Abril;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Baja;ONB;CARGO REPOSICION;$ 4.545,45;Masivo;1;F;4;400
1085;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;COM MANT CCE;$ 3.057,85;Eminent;3;F;5;500
1086;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Negocios;4;F;6;600
1087;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;SUC;SERVICIO EMINENT;$ 4.545,45;Prefer;2;M;7;700
1088;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 6.446,28;Masivo;0;M;8;800
1089;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;CAD;CARGOGESTCOBRANZA;$ 3.223,05;Eminent;1;F;9;900
1090;Mayo;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;CCC;COM BANELCO;$ 3.305,79;Eminent;3;F;10;1000
1091;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;SUC;CARGO REPOSICION;$ 6.198,35;Prefer;4;F;11;1100
1092;Diciembre;Manual;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Baja;CCC;COM MANT CCE;$ 2.066,12;Prefer;2;M;12;1200
1093;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;SUC;SERVICIO CUENTA PREFER;$ 7.988,66;Prefer;0;M;13;1300
1094;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;SUC;SERVICIO EMINENT;$ 3.305,79;Masivo;1;F;14;1400
1095;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;COMISION MANT DE CUENTA;$ 3.719,01;Prefer;3;M;15;1500
1096;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CARGOGESTCOBRANZA;$ 4.545,45;Masivo;4;F;16;1600
1097;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;COM BANELCO;$ 1.652,95;Eminent;2;M;17;1700
1098;Febrero;Manual;Desfavorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CAD;CARGO REPOSICION;$ 258,09;Eminent;0;M;18;1800
1099;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;COM MANT CCE;$ 3.305,79;Prefer;1;M;19;1900
1100;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CAD;SERVICIO CUENTA PREFER;$ 8.264,46;Masivo;3;F;20;2000
1101;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;SERVICIO EMINENT;$ 3.719,01;Masivo;4;F;1;100
1102;Febrero;Sin Envio;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;COMISION MANT DE CUENTA;$ 6.061,43;Eminent;2;F;2;200
1103;Julio;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CARGOGESTCOBRANZA;$ 4.545,45;Eminent;0;M;3;300
1104;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;COM BANELCO;$ 3.305,79;Eminent;1;M;4;400
1105;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;CCC;CARGO REPOSICION;$ 2.479,34;Eminent;3;F;5;500
1106;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COM MANT CCE;$ 6.446,28;Prefer;4;F;6;600
1107;Noviembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;2;M;7;700
1108;Septiembre;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Alta;SUC;SERVICIO EMINENT;$ 10.330,58;Masivo;0;M;8;800
1109;Agosto;Sin Envio;Desfavorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;COMISION MANT DE CUENTA;$ 4.545,45;Masivo;1;M;9;900
1110;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;SUC;CARGOGESTCOBRANZA;$ 1.074,33;Masivo;3;M;10;1000
1111;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;SUC;COM BANELCO;$ 6.198,35;Eminent;4;F;11;1100
1112;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;CARGO REPOSICION;$ 6.198,35;Negocios;2;F;12;1200
1113;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;COM MANT CCE;$ 6.198,34;Prefer;0;F;13;1300
1114;Febrero;Sin Envio;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;SERVICIO CUENTA PREFER;$ 40.641,21;Masivo;1;F;14;1400
1115;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;SERVICIO EMINENT;$ 1.283,24;Eminent;3;F;15;1500
1116;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COMISION MANT DE CUENTA;$ 517,36;Negocios;4;F;16;1600
1117;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;CARGOGESTCOBRANZA;$ 6.198,35;Prefer;2;F;17;1700
1118;Diciembre;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;CAD;COM BANELCO;$ 0,01;Masivo;0;M;18;1800
1119;Junio;Manual;Desfavorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CSEDB;CARGO REPOSICION;$ 10.330,58;Eminent;1;M;19;1900
1120;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;CAD;COM MANT CCE;$ 2.272,73;Eminent;3;F;20;2000
1121;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;CAD;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;4;F;1;100
1122;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;SERVICIO EMINENT;$ 4.958,68;Prefer;2;F;2;200
1123;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;COMISION MANT DE CUENTA;$ 4.132,23;Prefer;0;M;3;300
1124;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CCC;CARGOGESTCOBRANZA;$ 5.165,16;Masivo;1;M;4;400
1125;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Alta;SUC;COM BANELCO;$ 6.198,35;Prefer;3;F;5;500
1126;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;CARGO REPOSICION;$ 7.988,66;Masivo;4;M;6;600
1127;Marzo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;COM MANT CCE;$ 2.479,23;Eminent;2;F;7;700
1128;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 8.181,82;Eminent;0;M;8;800
1129;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;SERVICIO EMINENT;$ 4.545,45;Prefer;1;M;9;900
1130;Marzo;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CAD;COMISION MANT DE CUENTA;$ 11.267,00;Masivo;3;M;10;1000
1131;Enero;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;CSEDB;CARGOGESTCOBRANZA;$ 4.090,81;Masivo;4;F;11;1100
1132;Diciembre;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;COM BANELCO;$ 4.132,11;Eminent;2;F;12;1200
1133;Noviembre;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CSEDB;CARGO REPOSICION;$ 6.198,35;Eminent;0;F;13;1300
1134;Septiembre;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;SUC;COM MANT CCE;$ 6.198,35;Eminent;1;M;14;1400
1135;Agosto;Sin Envio;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CAD;SERVICIO CUENTA PREFER;$ 4.958,68;Eminent;3;M;15;1500
1136;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CAD;SERVICIO EMINENT;$ 6.446,28;Prefer;4;F;16;1600
1137;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;SUC;COMISION MANT DE CUENTA;$ 6.446,28;Prefer;2;F;17;1700
1138;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CARGOGESTCOBRANZA;$ 6.198,35;Masivo;0;M;18;1800
1139;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COM BANELCO;$ 4.958,66;Masivo;1;M;19;1900
1140;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;SUC;CARGO REPOSICION;$ 6.446,28;Masivo;3;M;20;2000
1141;Enero;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COM MANT CCE;$ 2.561,66;Eminent;4;M;1;100
1142;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CAD;SERVICIO CUENTA PREFER;$ 4.958,68;Negocios;2;F;2;200
1143;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;CCC;SERVICIO EMINENT;$ 4.090,92;Prefer;0;F;3;300
1144;Diciembre;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Baja;CCC;COMISION MANT DE CUENTA;$ 141,53;Masivo;1;F;4;400
1145;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;SUC;CARGOGESTCOBRANZA;$ 10.330,58;Eminent;3;F;5;500
1146;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CSEDB;COM BANELCO;$ 4.090,92;Negocios;4;F;6;600
1147;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;CARGO REPOSICION;$ 10.330,58;Prefer;2;F;7;700
1148;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;COM MANT CCE;$ 4.545,45;Masivo;0;F;8;800
1149;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;SUC;SERVICIO CUENTA PREFER;$ 6.446,28;Eminent;1;M;9;900
1150;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;CCC;SERVICIO EMINENT;$ 4.628,16;Eminent;3;M;10;1000
1151;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;CCC;COMISION MANT DE CUENTA;$ 3.305,79;Prefer;4;F;11;1100
1152;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CARGOGESTCOBRANZA;$ 8.264,46;Prefer;2;F;12;1200
1153;Marzo;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CCC;COM BANELCO;$ 6.446,28;Prefer;0;F;13;1300
1154;Febrero;Manual;Desfavorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;CARGO REPOSICION;$ 6.198,35;Masivo;1;M;14;1400
1155;Julio;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;SUC;COM MANT CCE;$ 10.330,58;Prefer;3;M;15;1500
1156;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;4;F;16;1600
1157;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;SERVICIO EMINENT;$ 3.719,01;Eminent;2;M;17;1700
1158;Diciembre;Manual;Desfavorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Eminent;0;F;18;1800
1159;Noviembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;CARGOGESTCOBRANZA;$ 10.330,58;Prefer;1;M;19;1900
1160;Septiembre;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CCC;COM BANELCO;$ 11.267,00;Masivo;3;M;20;2000
1161;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;CCC;CARGO REPOSICION;$ 10.330,58;Masivo;4;M;1;100
1162;Abril;Sin Envio;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;COM MANT CCE;$ 4,14;Eminent;2;F;2;200
1163;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Alta;SUC;SERVICIO CUENTA PREFER;$ 5.165,16;Eminent;0;F;3;300
1164;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES GOLD;SUC;SERVICIO EMINENT;$ 9.750,41;Eminent;1;F;4;400
1165;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COMISION MANT DE CUENTA;$ 8.181,82;Eminent;3;M;5;500
1166;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Alta;CCC;CARGOGESTCOBRANZA;$ 8.181,82;Prefer;4;M;6;600
1167;Enero;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;COM BANELCO;$ 4.545,45;Prefer;2;F;7;700
1168;Mayo;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;SUC;CARGO REPOSICION;$ 8.006,33;Masivo;0;F;8;800
1169;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Alta;CCC;COM MANT CCE;$ 8.264,46;Masivo;1;M;9;900
1170;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;3;M;10;1000
1171;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO EMINENT;$ 4.545,45;Eminent;4;M;11;1100
1172;Abril;Sin Envio;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;COMISION MANT DE CUENTA;$ 6.198,35;Negocios;2;M;12;1200
1173;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CARGOGESTCOBRANZA;$ 4.545,45;Prefer;0;F;13;1300
1174;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;COM BANELCO;$ 4.545,45;Masivo;1;F;14;1400
1175;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;CARGO REPOSICION;$ 6.198,35;Eminent;3;F;15;1500
1176;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;COM MANT CCE;$ 6.198,35;Negocios;4;F;16;1600
1177;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Alta;SUC;SERVICIO CUENTA PREFER;$ 2.272,93;Prefer;2;F;17;1700
1178;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;CCC;SERVICIO EMINENT;$ 6.198,35;Masivo;0;F;18;1800
1179;Marzo;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Empleados BGBA;CAD;COMISION MANT DE CUENTA;$ 14.281,66;Eminent;1;F;19;1900
1180;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Baja;CCC;CARGOGESTCOBRANZA;$ 3.305,79;Eminent;3;M;20;2000
1181;Julio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COM BANELCO;$ 4.958,65;Prefer;4;M;1;100
1182;Marzo;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;CARGO REPOSICION;$ 14.623,29;Prefer;2;F;2;200
1183;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;SUC;COM MANT CCE;$ 4.132,23;Prefer;0;F;3;300
1184;Diciembre;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;SERVICIO CUENTA PREFER;$ 8.264,46;Masivo;1;F;4;400
1185;Noviembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;SERVICIO EMINENT;$ 2.892,56;Prefer;3;M;5;500
1186;Septiembre;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Masivo;4;M;6;600
1187;Agosto;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;CSEDB;CARGOGESTCOBRANZA;$ 14.282,00;Eminent;2;F;7;700
1188;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;SUC;COM BANELCO;$ 3.305,79;Eminent;0;M;8;800
1189;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;CARGO REPOSICION;$ 8.264,46;Prefer;1;F;9;900
1190;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;COM MANT CCE;$ 2.272,73;Masivo;3;M;10;1000
1191;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;4;M;11;1100
1192;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES GOLD;SUC;SERVICIO EMINENT;$ 4.090,89;Eminent;2;M;12;1200
1193;Enero;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 146,26;Eminent;0;F;13;1300
1194;Mayo;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;CARGOGESTCOBRANZA;$ 11.209,00;Eminent;1;F;14;1400
