Caso;Mes;Comunicacion;Resolucion;Categoria;Subcategoria;Segmento;Canal;Movimiento;Monto;Cliente;ProductosActivos;Sexo
899;Noviembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COMISION MANT DE CUENTA;$ 3.719,01;Masivo;1;F
900;Septiembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;CARGOGESTCOBRANZA;$ 8.264,46;Masivo;3;F
901;Agosto;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Alta;SUC;COM BANELCO;$ 8.181,82;Eminent;4;M
902;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;CARGO REPOSICION;$ 11.208,66;Negocios;2;M
903;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Baja;ONB;COM MANT CCE;$ 3.719,01;Prefer;0;F
904;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;SERVICIO CUENTA PREFER;$ 10.330,58;Masivo;1;F
905;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Alta;SUC;SERVICIO EMINENT;$ 2.892,56;Eminent;3;F
906;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CCC;COMISION MANT DE CUENTA;$ 8.264,46;Negocios;4;M
907;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;CARGOGESTCOBRANZA;$ 4.545,45;Prefer;2;M
908;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Alta;CCC;COM BANELCO;$ 6.198,35;Masivo;0;F
909;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;CARGO REPOSICION;$ 1.305,79;Eminent;1;M
910;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;CCC;COM MANT CCE;$ 8.181,82;Eminent;3;F
911;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;SERVICIO CUENTA PREFER;$ 0,11;Prefer;4;M
912;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;SERVICIO EMINENT;$ 4.545,45;Prefer;2;M
913;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CAD;COMISION MANT DE CUENTA;$ 8.181,82;Prefer;0;M
914;Junio;Sin Envio;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CARGOGESTCOBRANZA;$ 4.090,89;Masivo;1;F
915;Abril;Manual;Desfavorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;COM BANELCO;$ 1.480,71;Prefer;3;F
916;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;CARGO REPOSICION;$ 3.305,79;Masivo;4;F
917;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Baja;CSEDB;COM MANT CCE;$ 6.198,35;Eminent;2;M
918;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Alta;SUC;SERVICIO CUENTA PREFER;$ 8.181,82;Eminent;0;M
919;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Alta;SUC;SERVICIO EMINENT;$ 2.479,34;Prefer;1;F
920;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Baja;SUC;COMISION MANT DE CUENTA;$ 1.363,64;Masivo;3;F
921;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CARGOGESTCOBRANZA;$ 4.545,45;Masivo;4;M
922;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CAD;COM BANELCO;$ 3.719,01;Eminent;2;M
923;Enero;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CAD;CARGO REPOSICION;$ 34,00;Eminent;0;M
924;Diciembre;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;COM MANT CCE;$ 6.198,35;Eminent;1;M
925;Noviembre;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 448,00;Eminent;3;F
926;Septiembre;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;SERVICIO EMINENT;$ 8.181,82;Prefer;4;F
927;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COMISION MANT DE CUENTA;$ 2.479,34;Prefer;2;F
928;Abril;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Baja;CCC;CARGOGESTCOBRANZA;$ 518,85;Masivo;0;F
929;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;COM BANELCO;$ 4.545,45;Masivo;1;F
930;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;CARGO REPOSICION;$ 4.282,07;Masivo;3;F
931;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;SUC;COM MANT CCE;$ 10.330,58;Eminent;4;F
932;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;SERVICIO CUENTA PREFER;$ 666,92;Negocios;2;M
933;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;SERVICIO EMINENT;$ 6.446,28;Prefer;0;M
934;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;CAD;COMISION MANT DE CUENTA;$ 6.198,35;Masivo;1;F
935;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;SUC;CARGOGESTCOBRANZA;$ 3.719,01;Eminent;3;F
936;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CAD;COM BANELCO;$ 3.223,05;Negocios;4;F
937;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Alta;SUC;CARGO REPOSICION;$ 10.330,58;Prefer;2;M
938;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;SUC;COM MANT CCE;$ 3.719,01;Masivo;0;M
939;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;SERVICIO CUENTA PREFER;$ 11.267,00;Eminent;1;F
940;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;SUC;SERVICIO EMINENT;$ 4.545,45;Eminent;3;M
941;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Prefer;4;F
942;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;CARGOGESTCOBRANZA;$ 12.235,27;Prefer;2;M
943;Enero;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;Conecta;COM BANELCO;$ 3.719,01;Prefer;0;M
944;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;SUC;CARGO REPOSICION;$ 10.330,58;Masivo;1;M
945;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COM MANT CCE;$ 6.446,28;Prefer;3;F
946;Febrero;Sin Envio;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Alta;CCC;SERVICIO CUENTA PREFER;$ 6.442,07;Masivo;4;F
947;Julio;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;SUC;SERVICIO EMINENT;$ 4.090,81;Eminent;2;F
948;Marzo;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES GOLD;SUC;COMISION MANT DE CUENTA;$ 8.181,82;Eminent;0;M
949;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;CARGOGESTCOBRANZA;$ 4.545,45;Prefer;1;M
950;Diciembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;COM BANELCO;$ 10.265,04;Masivo;3;F
951;Noviembre;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;CCC;CARGO REPOSICION;$ 14.966,30;Masivo;4;F
952;Septiembre;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;CSEDB;COM MANT CCE;$ 496,94;Eminent;2;M
953;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;SUC;SERVICIO CUENTA PREFER;$ 2.117,85;Eminent;0;M
954;Abril;Sin Envio;Desfavorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CCC;SERVICIO EMINENT;$ 4.958,68;Eminent;1;M
955;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 850,00;Eminent;3;M
956;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;CARGOGESTCOBRANZA;$ 2.892,56;Prefer;4;F
957;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CCC;COM BANELCO;$ 10.330,58;Prefer;2;F
958;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES GOLD;SUC;CARGO REPOSICION;$ 8.264,46;Masivo;0;F
959;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COM MANT CCE;$ 4.545,45;Masivo;1;F
960;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Baja;CCC;SERVICIO CUENTA PREFER;$ 6.127,85;Masivo;3;F
961;Octubre;Manual;Desfavorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;CAD;SERVICIO EMINENT;$ 743,79;Eminent;4;F
962;Diciembre;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CAD;COMISION MANT DE CUENTA;$ 10.330,58;Negocios;2;F
963;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Alta;CSEDB;CARGOGESTCOBRANZA;$ 8.264,46;Prefer;0;M
964;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;CCC;COM BANELCO;$ 3.305,79;Masivo;1;M
965;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;SUC;CARGO REPOSICION;$ 4.132,23;Eminent;3;F
966;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;COM MANT CCE;$ 7.988,66;Negocios;4;F
967;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;SUC;SERVICIO CUENTA PREFER;$ 4.132,23;Prefer;2;F
968;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;SERVICIO EMINENT;$ 8.264,46;Masivo;0;M
969;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;COMISION MANT DE CUENTA;$ 10.330,58;Eminent;1;M
970;Mayo;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;CAD;CARGOGESTCOBRANZA;$ 7.080,93;Eminent;3;F
971;Marzo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;COM BANELCO;$ 0,01;Prefer;4;M
972;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;SUC;CARGO REPOSICION;$ 3.305,79;Prefer;2;F
973;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;COM MANT CCE;$ 6.446,28;Prefer;0;M
974;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;1;M
975;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Baja;SUC;SERVICIO EMINENT;$ 3.843,72;Prefer;3;M
976;Diciembre;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;CCC;COMISION MANT DE CUENTA;$ 4.545,45;Masivo;4;F
977;Noviembre;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;CARGOGESTCOBRANZA;$ 6.446,28;Eminent;2;F
978;Septiembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Alta;CCC;COM BANELCO;$ 8.181,82;Eminent;0;F
979;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;CARGO REPOSICION;$ 6.446,28;Prefer;1;M
980;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;COM MANT CCE;$ 8.181,82;Masivo;3;M
981;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;SERVICIO CUENTA PREFER;$ 4.958,68;Masivo;4;F
982;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;SERVICIO EMINENT;$ 4.545,45;Eminent;2;F
983;Octubre;No Informado.;No Informado.;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;COMISION MANT DE CUENTA;$ 4.545,45;Eminent;0;M
984;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;Conecta;CARGOGESTCOBRANZA;$ 8.181,82;Eminent;1;M
985;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COM BANELCO;$ 2.479,34;Eminent;3;M
986;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CARGO REPOSICION;$ 3.719,01;Prefer;4;M
987;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;PYME Micro;SUC;COM MANT CCE;$ 8.750,00;Prefer;2;F
988;Diciembre;Sin Envio;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;SERVICIO CUENTA PREFER;$ 3.099,45;Masivo;0;F
989;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES GOLD;SUC;SERVICIO EMINENT;$ 5.636,33;Masivo;1;F
990;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CAD;COMISION MANT DE CUENTA;$ 4.958,68;Masivo;3;F
991;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CAD;CARGOGESTCOBRANZA;$ 4.958,82;Eminent;4;F
992;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;SUC;COM BANELCO;$ 2.479,34;Negocios;2;F
993;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;CCC;CARGO REPOSICION;$ 6.198,35;Prefer;0;F
994;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CAD;COM MANT CCE;$ 7.988,66;Masivo;1;M
995;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Eminent;3;M
996;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;SERVICIO EMINENT;$ 4.545,45;Negocios;4;F
997;Marzo;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;CCC;COMISION MANT DE CUENTA;$ 1.832,68;Prefer;2;F
998;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;CARGOGESTCOBRANZA;$ 4.958,68;Masivo;0;F
999;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CSEDB;COM BANELCO;$ 1.859,61;Eminent;1;M
1000;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CARGO REPOSICION;$ 10.330,58;Eminent;3;M
1001;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;COM MANT CCE;$ 4.545,45;Prefer;4;F
1002;Diciembre;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;SUC;SERVICIO CUENTA PREFER;$ 2.272,93;Prefer;2;M
1003;Noviembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CAD;SERVICIO EMINENT;$ 6.446,28;Prefer;0;F
1004;Septiembre;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;SUC;COMISION MANT DE CUENTA;$ 1.074,33;Masivo;1;M
1005;Agosto;Sin Envio;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Alta;SUC;CARGOGESTCOBRANZA;$ 5.165,16;Prefer;3;M
1006;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;COM BANELCO;$ 6.198,35;Masivo;4;M
1007;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;CARGO REPOSICION;$ 4.387,11;Eminent;2;F
1008;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CSEDB;COM MANT CCE;$ 1.086,78;Eminent;0;F
1009;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;SERVICIO CUENTA PREFER;$ 8.181,82;Prefer;1;F
1010;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;SERVICIO EMINENT;$ 6.198,35;Masivo;3;M
1011;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;SUC;COMISION MANT DE CUENTA;$ 2.479,34;Masivo;4;M
1012;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;CARGOGESTCOBRANZA;$ 2.892,56;Eminent;2;F
1013;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;COM BANELCO;$ 6.446,28;Eminent;0;F
1014;Diciembre;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;CCC;CARGO REPOSICION;$ 0,07;Eminent;1;M
1015;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CAD;COM MANT CCE;$ 57,25;Eminent;3;M
1016;Abril;Sin Envio;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Alta;SUC;SERVICIO CUENTA PREFER;$ 269,77;Prefer;4;M
1017;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;SUC;SERVICIO EMINENT;$ 390,83;Prefer;2;M
1018;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;UVM;COMISION MANT DE CUENTA;$ 14.282,00;Masivo;0;F
1019;Abril;Manual;Desfavorable al cliente;Cuentas Reclamos;Comisiones e intereses;FAMILIA GALICIA;CCC;CARGOGESTCOBRANZA;$ 4.104,00;Masivo;1;F
1020;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;COM BANELCO;$ 6.198,35;Masivo;3;F
1021;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Baja;SUC;CARGO REPOSICION;$ 3.719,01;Eminent;4;F
1022;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;COM MANT CCE;$ 6.198,35;Negocios;2;F
1023;Marzo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;ONB;SERVICIO CUENTA PREFER;$ 4.214,88;Prefer;0;F
1024;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Alta;CCC;SERVICIO EMINENT;$ 3.719,01;Masivo;1;F
1025;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COMISION MANT DE CUENTA;$ 4.132,23;Eminent;3;M
1026;Marzo;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Alta;CCC;CARGOGESTCOBRANZA;$ 3.223,05;Negocios;4;M
1027;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COM BANELCO;$ 4.132,23;Prefer;2;F
1028;Diciembre;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;ONB;CARGO REPOSICION;$ 10.330,58;Masivo;0;F
1029;Noviembre;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COM MANT CCE;$ 4.533,42;Eminent;1;F
1030;Septiembre;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;SUC;SERVICIO CUENTA PREFER;$ 3.719,01;Eminent;3;M
1031;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;SERVICIO EMINENT;$ 1.652,95;Prefer;4;M
1032;Abril;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Empleados BGBA;SUC;COMISION MANT DE CUENTA;$ 21.645,00;Prefer;2;F
1033;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Baja;CCC;CARGOGESTCOBRANZA;$ 5.647,34;Prefer;0;M
1034;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;SUC;COM BANELCO;$ 4.545,45;Masivo;1;F
1035;Octubre;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;SUC;CARGO REPOSICION;$ 28.325,12;Prefer;3;M
1036;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;SUC;COM MANT CCE;$ 2.479,34;Masivo;4;M
1037;Enero;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;SERVICIO CUENTA PREFER;$ 4.958,68;Eminent;2;M
1038;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;SERVICIO EMINENT;$ 4.958,68;Eminent;0;F
1039;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;SUC;COMISION MANT DE CUENTA;$ 4.958,68;Prefer;1;F
1040;Diciembre;Manual;Desfavorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CARGOGESTCOBRANZA;$ 4.911,43;Masivo;3;F
1041;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CAD;COM BANELCO;$ 4.545,45;Masivo;4;M
1042;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;CARGO REPOSICION;$ 10.330,58;Eminent;2;M
1043;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;COM MANT CCE;$ 4.545,45;Eminent;0;F
1044;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CAD;SERVICIO CUENTA PREFER;$ 8.264,46;Eminent;1;F
1045;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO EMINENT;$ 6.198,35;Eminent;3;M
1046;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Prefer;4;M
1047;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;SUC;CARGOGESTCOBRANZA;$ 8.181,82;Prefer;2;M
1048;Mayo;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Empleados BGBA;CCC;COM BANELCO;$ 4.132,35;Masivo;0;M
1049;Marzo;Sin Envio;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CAD;CARGO REPOSICION;$ 2.066,18;Masivo;1;F
1050;Febrero;Manual;Favorable al cliente;Cuentas Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES GOLD;CCC;COM MANT CCE;$ 6.276,00;Masivo;3;F
1051;Julio;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;ONB;SERVICIO CUENTA PREFER;$ 2.479,34;Eminent;4;F
1052;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;SERVICIO EMINENT;$ 6.198,35;Negocios;2;F
1053;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Baja;SUC;COMISION MANT DE CUENTA;$ 2.231,40;Prefer;0;F
1054;Diciembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;Conecta;CARGOGESTCOBRANZA;$ 4.545,45;Masivo;1;F
1055;Noviembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CCC;COM BANELCO;$ 4.545,45;Eminent;3;F
1056;Septiembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CCC;CARGO REPOSICION;$ 10.330,58;Negocios;4;M
1057;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;COM MANT CCE;$ 6.198,35;Prefer;2;M
1058;Abril;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;SERVICIO CUENTA PREFER;$ 1.487,58;Masivo;0;F
1059;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;SERVICIO EMINENT;$ 6.198,35;Eminent;1;F
1060;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CSEDB;COMISION MANT DE CUENTA;$ 3.674,32;Eminent;3;F
